line_index,categories,aave_text,sae_text
9,S10,Wen u kall a nigga fone n he dont answer dat mean he nevagave a fuck about it,When you call a person's phone and they don't answer that means they never cared about it.Cared about it
15,S10,Old niggas are foul . This nigga just kiss a stripperlike it was his wife,Old people are gross. This friend has just kissed a stripperlike she was his wife
17,S10,My onli wish my nigga keith was here to kill shyt I been on some fuckthe world shyt lately nbs,My only wish is that my friend Keith was here to kill things. I have been down and depressedabout everything lately
18,S12,"I JUST WANNA FUCK YO BESTFRIEND FOR ONE NITE ONLI, ONLI AND WHEN I FUCK YO BESTFRIEND U BET NOT FUCK MY HOMIE","I just want to fuck your best friend for one night only, and when I fuck your best friend, youbetter not fuck my friend"
24,S10,Lets GIVE A ROUD OF APPLAUSE TO THE NIGGAHS AND BITCHES THAT'S REALLY SOFT INPERSON BUT HARD ON TWITTER.,Let us give a round of applause to the ladies and gentlemen that are not as tough in personcompared to their personalities on Twitter
30,S10,"After boyz in tha hood came out, I wonder how many niggas tried shedding some tears and being dramatic to get a girlto give up the goods","After \""Boyz n the Hood\"" came on, I wonder how many guys tried shedding some tears and being dramatic to get a girlto have sex with them"
39,S10,Now niggas dont be surprised also if your woman counts down backwards next timeyou say some stupid shit,"Now, don't be surprised if your woman counts down backwards the next time you say some stupid shit.you say some stupid shit"
43,S4,which are A) she was a lesbian for 15 yrs and B) she got an 11 yr oldwhich means she's had penis,"Which are A) she was a lesbian for 15 years and B) she has an 11 year old,which means she's had sex with a man"
53,S10,I walked up to sum nigga disrespectin a female.I told him I might be a Virgin but I kno a pussy wen I see one...#fukkyhu hittin a lady for,"I walked up to this guy disrespecting a female. I told him I may be a virgin, but I know a pussy when I see one. Why the fuckare you hitting a lady"
64,S10,i got everything i ever wanted be she makes me better rs she better wake up these lil nigga willneva get thy weight up,I have received everything I have ever wanted because she makes me better. She needs to wake them up or they willnever be able to gain weight
74,S12,If u fuckin with me.... Really fuckin with me u go get sum girlsn bring em to me,"If you're my friend, really my friend, go and get some girlsand bring them to me"
78,S10,Hoes wanna know..hoes wanna show..they know a nigga name they know anigga strong (Rick Ross voice),Girls want to know...girls want to show...they know my name they know a..i'm stron
80,S10,I try to let u pussy niggas eat its time to putu pussy boys to sleep,"I tried to feed you boys, now it's time foryou boys to go to be"
89,S12,"I'm what you want. I'm what you need. She got you trapped ill set youfree. Sexually, mentally, psychically, emotionally","I am whom you want and what you need. She has you trapped, but i can set you free, sexually, mentally, psychically, and emotionally."
91,S10,Older the berry the sweeter the juice... Man it's the blacker the berry the sweeter the juice. Well yea sheblack then a muhfucka too,"The older the berry the sweeter the juice. Friend, it is the blacker the berry the sweeter the juice. Well yes, then sheis blacker than others too"
101,S1,"boy teya tryin go see granny, & shit. Ima see doe, imahit ur boost!"" No questions","Boy, Teya is trying to see granny and such. I'm going to see though, i'm going tohit your boost! No questions"
109,S2,I jus call boo and she finished Skool she drink andshe smoke my reefer too...,I just called my girlfriend and she finished schoolshe smoke my joint to
118,S10,It's funny a watching niggas go thru problems like I do but it's not funny when I gothru shit fuck it tho,It is funny watching Negros go through problems like I do but it is not funny when I go  through shit. Fuck it though.
125,S10,U eva bump into a nigga yo age and he STILL take Gang banging serious? At what age do a reference of another gangNOT make u wanna fight?,Have you ever bumped into someone your age and he still takes gang banging seriously? At what age does a reference to another gangnot make you want to fight
134,S10,Shame on ALL you women that has sent off the Shape Challenged womenof the world...shame on yall.,All the women who have sent off the shape  challenged women should be ashamed.of the world. Shame on you
200,S10,Nate is 5'8. Bron is 6'8 of course he will hit him in the face. He's under him. TheNBA is so fucking gay.,"Nate is 5'8\"". Bron is 6'8\"". Of course Bron will hit him in the face. Nate's under him. The NBA is so fucking gay."
216,S10,And If She Trynna Tell Me Im The. Only One Thts Hittin I Say Wht About Them Niggas SheSay Wht About Them Niggas,"And if she is trying to tell me I'm the only one that's hitting, then what about those African Americans?What about them"
223,S12,Cats be like son my first time I ha an orgy with like 10 bitches and they all came 3 times and I ain't evencome I swear to everything,"People are like, son, my first time I had an orgy with like ten women and they all came three times and I didn't even come. I swear."
231,S1,If this lol boy watch another mothafucckin WWE fight on my computer ...Imma body slam his ass,"If this little boy watches another motherfucking WWE fight on my computer, I'm going to body slam his ass."
242,S2,"Smph ""Put a MOLLY in dat bitch drink nd she ain even knw it""realli like that's crazy shit!","Shake my head \""Put a molly in that bitch's drink and she doesn't even know it\""really like that's crazy shit"
250,S1,I got This Feeling On a summer day When you were Gone I crashed my Car into a bridge I threw Your Shit into abag and pushed it down,I got this feeling on a summer day. When you were gone I crashed my car into a bridge. I threw your shit into abag and pushed it down
267,S11,If I hit the powerball I may as well kill myself. Cause my family will beat me down mentally and emotionally beforeI can ever enjoy it!,"If I hit the Powerball, I may as well kill myself because my family will beat me down mentally and emotionally before I can ever enjoy it!"
271,S10,Oh hell nawll black people and chicken don't mix let me get my ahh in this kitchen b4 thesedrunk niiggas eat em up!,"Oh, hell no, black people and chicken don't mix. Let me get myself in the kitchen before these inebriated negros eat it all."
272,S10,I can't go down Auntie monkey house to watch bball dese niggas a be hollin rolltide I'll be like df?,I can't go down to aunt monkey's house to watch basketball these guys are yelling rolltide and i'm like why
282,S4,They also need to be 7-8 pounds straight out the womblol I like big babies,They also need to be seven to eight pounds straight out of the womb.That's funny. I like big babies
291,S4,How You Gone Try && Pop Out At 11 Some Out The Blue At That &&Expect Somebody To Come Outside,How are you going to show up at eleven out of the blue adn expect someone to come outside?
296,S12,With my new bitch rite now I like her style cuz treat me Betta and fuck meBetta we on another level,With my new girlfriend right now. I like her style because she treats me better and fucks me better. We are on another level.
297,S10,"White ppl can come together and make neo Nazi's and us blacka still fightingover blocks, streets and colors","White people can come together and make Neo-Nazis and us blacks still fightingover blocks, streets and colors"
300,S10,Real bitchxs dey lust em hatein niggas disgust em i see u takn em shots deybounce off em its nth,"Real bitches, they lust over the hating black guys. I see you taking those shots today.Bounce them off; it is nothing."
307,S10,This nigga jcole ji OC lol hope my man dont get caughtup for no dumb shit,I just really hope he doesn't get caught up in what JCole is doing.I don't want him to be blamed for something ridiculous
331,S10,"It's not about East or West. It's about niggaz and bitches, power & money, riders & punks. Whichside are you on? ~Makaveli~","It is not about east or west. It is about black men and bitches, power and money, and riders and punks. Whichside are you on? -Makavel"
332,S10,Niggaz aint gone be satisfied till they get the package....all that ass u was foaming at the mouth overgonna cost u your life,They will not be satisfied until they receive the package. It is not worth worrying about.It is going to cost you your life.
352,S10,"S/o to all the niggas that got ""Goin Steady"" as their ringtone for they side bitches...","Shout out to all the men that have \""going steady\"" as their ringtone for their side bitches.."
367,S10,Men ain't shit but bitch they can not take pain but they all ask like bitch fuck face they kiss my black Ass and diereal slow how about it,Men are not the best at having a high pain tolerance. What do you think?
375,S10,these niggas b saying they Heroz false flagging ass Niggaz y'all ain't from crescent. No whodon't like that. Run it,They think they are heroes and it's hard to convince them otherwise. They don't like that.
385,S10,"I think niggas wearing wires so I don't talk that, I think my girl is crazy so I don't beon the phone that much",I think they’re wearing wires so I don’t talk like that. I think my girl is crazy so I’m not on the phone that much.
391,S10,Bulls looking to trade Boozer to the raptors bout fucking time theygot rid of this nigga!!,The Bulls are looking to trade Boozer to The Raptors. About fucking time theygot rid of that man
394,S10,In aver had a girl do that to me cause the kind nigga that I'm ambutI wish a bitch would,I have never had someone do that to me because I don't spend time with people like that. No one would ever try that with me
411,S10,I'm doing 2 much this winter so I can stunt forthe summer...I'm such a nigger,I am doing too much this winter so that I can stunt forthe summer. I am such a black man.
428,S10,"¡Slow Nigga, Whn I Dont Call Yu Backk Tht Meanz STOP FuckinCallin Me!!>> {""VOICEMAIL FULL SMH""}","Slow down, black man. When I do not call you back that means stop fuckingcalling me. Voicemail is full; shaking my head"
431,S10,Fuck picnics (except niggaQ) Fuck Clubs (Maybe VirgoBash if the homies peace dat out) Just RedCups and my living room,Fuck picnics (except black man). Fuck clubs; maybe VirgoBash if the homies peace that out. Just redcups and my living room
464,S10,Sign Me!! im the C.E.O of My Own Record label!  .. iCan Sign Niggas and Myself!,Let me sign this contract!! I'm the Chief Executive Officer of my own record label! I can sign anyone including mysel
473,S10,*sigh* every middle class nigga gonna get dat base model of BenzCLA later this year watch..m,"All the middle class people will buy that same model of Benz.By the end of the year they will, I bet"
475,S10,I dislike so many of the Black Men that work downtown cuz they sooofucking lame as a whole.,I dislike so many of the Black men that work downtown because they are sofucking lame as a whole
477,S10,that nigga john wall ballin jus tryin see if he can do it ere nite ye step on thefloor he could had 50,"That black man, John, was just trying to see if he can do it every night he steps on thefloor. He could have had 50"
478,S10,"money, career, etc don't knock the lame out a nig...I jus see em andshake my head down here",There is no amount of money or a job too great that would make it worth it.I can't believe that's how they are acting
479,S6,u aint gotta pay dat high ass price if u use (she like a Master in Taxcuz her degrees say so),You don't have to pay such a high price for help with your taxes. She is qualified.She went to school and has a degree
480,S10,"10 niggas.... You gone fight 10 niggas for yo nigga.. Suicide""I Said The Sam Thing","10 men... you are going to fight 10 men for your man... Suicide.\""I said the same thing"
486,S11,Bitch sit ur ass down somewhere b4 I make u drink ur own blood I make more money then her I haveNO REASON 2 HATE! SUCKaDICK,"You should sit down and stop doing what you are doing before I hurt you. I make more money than she does, and I do not have any reason to resent that. You should suck on a penis"
500,S2,U eva on train and your eyes lock on the 1 person u know u gotta steal on 1st if shitbroke out? Naw? Ok nvm,"Are you ever on the train and you see someone who you believe you would have to punch if a fightstarted? No? Okay, never mind"
514,S10,den if he do cook he ghey? See no win...they confused B. Theysingle cuz they Damaged Goods.,"So you're saying that if he cooks he is gay? There is no way to win, I'm confused. They are single because they are damaged goods."
529,S10,fyi dat doesn't motivate me...My normal gene pool makes me naturally fit...you lil niggazhave to work for it.,"For your information, that doesn't motivate me... My normal gene pool makes me naturally fit... you little boyshave to work for it"
532,S10,Liquor all on my breath.. Bitches all in my sight! Real niggas trynafuck.. Fuck niggas wanna fight,I've been drinking Liquor you can smell it on my breath.  I see some ladies.  People who act real who are black are trying to fuck.  People want to fight who are black
543,S10,"These bitches get around. Even the ones you swore didn't, they do too.""Can'tput sht past these hoes","These bitches get around. Even the ones you swore didn't, they do too.\"" I can'tput shit past these hoes"
