line_index,obscene_score,aave_text,sae_text
253,0.9935,YOU LIVE IN A FAIRYTALE WORLD. EVERYTHING AIN'T PERFECT. . I DON'T GET NO HAND OUTS. FUCK THAT. SOMEBODYGIVE ME SOME FREE SHIT.,You live in a fairy tale  world. Everything isn't perfect. I don't get anything for free. Fuck that. Somebodygive me some free shit.
18,0.9932,"I JUST WANNA FUCK YO BESTFRIEND FOR ONE NITE ONLI, ONLI AND WHEN I FUCK YO BESTFRIEND U BET NOT FUCK MY HOMIE","I just want to fuck your best friend for one night only, and when I fuck your best friend, youbetter not fuck my friend"
1437,0.9932,"I know there's a name, gotta be a name for this shit . . I just don't know what, don't know whatto call it!"" My shit","I know there's a name, gotta be a name for this shit... I just don't know whatto call it! My shit"
1521,0.9911,That Shit Was Foul As'f! My ass was cryinggg & them folkss didnt have tosay shit us! Fuckedd Up,That shit was as foul as fuck! I was crying and those people didn't have to say shit to us! Fucked up
100,0.9909,My mom blows the fuck out of me at times... Fuck my lifehave to harder for? Damn,My mother disappoints me sometimes...why does my lifehave to be harder? gosh.
1476,0.9905,WHAT WHO DIS TAMAR OH HELL KNOW STOP HATE ON HER DAMN TEAMTAMARA. STAND. THE FUCK UP,"Who is Tamara? Oh, stop hating on her teamTamara. Stand up"
102,0.9900,I got the jack wat else I need sugar wats dem pebblesthat be in that shit,I got the jack. What else do I need? I need sugar and pebbles.That is in it
1425,0.9900,MASS APPEAL GO HARD DAT SHIT GO DUMB! DATS WAT THE FUCK I'M TAMBOUT CASS KEEP SPAZZIN ON D'S GOOFAS FUCK NIGGAS ECSP WK-MZ,"Mass appeal, be aggressive! That situation is stupid. That's what the fuck I'm talking about. Cass keeps overreacting to D's mistake so much, black people, especially WK-MZ"
354,0.9899,"I dnt do that subtweetin shit, the shit I got to say ain't got shit todo wit anyone on twitter","I don't do that subtweet shit, the shit I have to say doesn't have shit todo with anyone on Twitter"
1099,0.9898,I didn't try to hold your hand g. I HELD that shit. Just likehow I grabbed that ass,"I didn't try to hold your hand, dude. I held that shit, just likehow I grabbed that ass"
1533,0.9897,Bitches get fucked on the roof when I aint got nohotel doe ~ Big L,I have sex with girls on the roof when I don't have anymoney for a hotel room - Big 
1407,0.9895,damn.. so what Jalen have to do wit it cuz I thought he jus wasjus doing the loud thing,Damn.. So what did Jalen have to do with it because I thought he was justJust doing the loud thin
1950,0.9893,Ugh....ppl kill me when they say some shit and u speak on it but theyget attitudlem bout the shit,"People kill me when they say some shit and you speak about it, but theyget an attitude about it"
516,0.9891,Damn who runs to there ex mate everytime sumthin goes wrong in yo current relationshipwhere they do dat at,Damn!  Who runs to his ex every time something goes wrong in his current relationship?Where do they do that
3,0.9890,Shit I Am Who Am..Fresh up out of Apologize..I'm Doing It For SHAQ & My KIDS That's MY ATTITUDE THIS YEAROR MOVE THE FUCK AROUND,"Shit, I am who I am. I'm done apologizing. I'm doing it for Shaq and my kids, that's my attitude this yearand if you don't like it, get out"
1544,0.9889,"We do this EVERY summer jam. Think of scenarios where Hov can come out.We used to this shit.""",We do this every Summer Jam. Think of scenarios where Jay-Z can come out. We are used to this shit.
1857,0.9889,"Cookout get the fuck on with that ""my pleasure"" shit... That'sfor Chik Fil a only.","Cookout. Seriously, stop with saying \""my pleasure.\"" That'sfor Chick-fil-a only"
993,0.9888,We wasn't on some fuck youtube shit! We traveled talked shit andgot to know the bruhz!,"We were not saying, \""Fuck youtube.\"" We traveled, talked to people, and got to know those people"
