line_index,nsfw_score,aave_text,sae_text
43,0.9354,which are A) she was a lesbian for 15 yrs and B) she got an 11 yr oldwhich means she's had penis,"Which are A) she was a lesbian for 15 years and B) she has an 11 year old,which means she's had sex with a man"
52,0.8846,"N . Nawll , Boo likee her , shee log in on his phone , she dnt like his ugly ass","No way, he likes her, and she logs into his phone, even though shedoes not like him"
53,0.6814,I walked up to sum nigga disrespectin a female.I told him I might be a Virgin but I kno a pussy wen I see one...#fukkyhu hittin a lady for,"I walked up to this guy disrespecting a female. I told him I may be a virgin, but I know a pussy when I see one. Why the fuckare you hitting a lady"
55,0.8282,"If I could grow a perfect pair of breasts, they wouldsit next to my bed.","If I could grow a perfect pair of breasts, they would sit next to my bed.sit next to my bed"
62,0.5072,bitch shutt yo clown ass uhpp im dnee tlkin if u gott sum 2 sayy.. Sayyit to my facee kk,"Bitch, shut your dumb ass up. I'm done talking. If you have something to say, sayit to my face, okay"
80,0.8807,I try to let u pussy niggas eat its time to putu pussy boys to sleep,"I tried to feed you boys, now it's time foryou boys to go to be"
126,0.5577,"Dear Greeks, If by 30 becoming a member of your org is ur greatest achievement...Udon't deserve ur fucking letters.","Dear Greeks, if by thirty becoming a member of your organization is your greatest achievement, you don't deserve your fucking letters."
176,0.9016,Just found out that my auntie BBQ and my fat ass just ate. I'm headed togo get me a rib,I just found out that my auntie is barbecuing and my fat ass just ate. I'm headed to go get a rib.
199,0.6772,"Sex: it's between the two people, respectfully take advantage of each otherfor those couple of minutes",Sex: it's between two people that respectfully take advantage of each otherfor those couple of minutes.
215,0.9089,"I don't even wanna give her hell her jokes too lite"" your jokeslighhhhhht DICKHEAD no neck ass","I don't even want to give her hell. Her jokes are too silly. Your jokes are not funny. Dickhead, no neck ass."
223,0.8192,Cats be like son my first time I ha an orgy with like 10 bitches and they all came 3 times and I ain't evencome I swear to everything,"People are like, son, my first time I had an orgy with like ten women and they all came three times and I didn't even come. I swear."
231,0.9115,If this lol boy watch another mothafucckin WWE fight on my computer ...Imma body slam his ass,"If this little boy watches another motherfucking WWE fight on my computer, I'm going to body slam his ass."
235,0.8967,If your girlfriend friends dont like u .u can hang it up b c theygon lie on yo ass,"If your girlfriend's friends don't like you, you can quit because theyare going to lie about your ass."
240,0.5733,This weak ass shit over with. That's two down all that's left is the one who alwaysremains best in my book.,This weak shit is over with. That's two down and all that's left is the one who alwaysremains the best in my book.
247,0.9372,"i just might the next female i have in bed lol"" that was sooo wrong!I would sue his ass",I just might do this to the next female I have in bed. It's funny. That was so wrong! I would sue him.
275,0.6318,If you have drugs in your car keep your scary ass off the road in the morning... I don't have time to be drivingslow bc I'm behind you,If you have drugs in the car do not drive in the morning. I don't have time to be drivingslow down because I am behind you
284,0.8178,Put on my swim suit and baby oil for no damn reason.The pool is closed for some ol bullshit but will be open tomorrowand my ass gotta work,"Put on my swim suit and baby oil for no damn reason. The pool is closed for some bullshit, but will be open tomorrowand my ass has to wor"
285,0.8711,grams empty out my purse cuz she wearin it to a weeding! I hope my weed bowl wasn't in there! she go kick my ass andi need it tonight lol,Grandma is emptying out my purse because she's wearing it to a wedding! I hope my weed pipe wasn't in there! She's going to kick my ass and I need it tonight. How funny!
