line_index,categories,aave_text,sae_text
89,S12,"I'm what you want. I'm what you need. She got you trapped ill set youfree. Sexually, mentally, psychically, emotionally","I am whom you want and what you need. She has you trapped, but i can set you free, sexually, mentally, psychically, and emotionally."
199,S12,"Sex: it's between the two people, respectfully take advantage of each otherfor those couple of minutes",Sex: it's between two people that respectfully take advantage of each otherfor those couple of minutes.
524,S12,lie cuz it get best results (his goal). If it was cut and dry bout sex itwould go into man favor...,"Lie because it gets the best results (his goal). If it was cut and dry about sex, itwould go into the man's favour.."
714,S12,"I figga if u can bring ya self to even do some hoe acts, your fargone. Eg GangBang by Hoopsquad","I figure if you can bring yourself to even perform some whore acts, you're fargone (e.g., Gang Bang by Hoop Squad)"
735,S12,merchhhh u can . Awee nd go talk to dhat lil bitchdat wanna fuck widdchuu !!!,Merch u can. And go talk to that little bitchthat wants to fuck with you
752,S12,If u hustle still got 2 have a 9 2 5 keep them laws off urass and them thirsty hoes,"If you hustle, you still have to have a nine to five job to keep law enforcement off yourass and them thirsty hoes."
916,S12,. Lookin Ad Baby Sleepin Like Ah Baby Body So Amazin Drive Mhe Krazy Um Bout Ta Wake Uu Uhp Gurl IIWanna Sex Uu Uhp ...!,"I'm looking at my baby sleeping, thinking \""Oh baby, your body is so amazing. It drives me crazy. I'm about to wake you up, girl. Iwant to have sex with you!\"
927,S12,Get Cha Mind Right Open Mic. Tonight at The Purple Cafe 9pm. Feat Mz CarriMail. ItsErotic Night! Brimg extra Panties!!,Get your mind right. Open mic is tonight at The Purple Cafe at 9pm featuring Mz CarriMail. It’sErotic Night! Bring extra panties!
954,S12,Y should i get suspended i didn't thro a puNch nothing just askher to cum out Side,"You should know I got suspended. I did not throw a punch, however. I just askedher to come outside."
1153,S12,Man if I have roommates I would make sure sex sounded like a murder scene forget beingrespectful you gone hear that,"Man, if I have roommates, I would make sure sex sounded like a murder scene. Forget beingrespectful, you are going to hear that"
1157,S12,"Take me for who I am if you don't like itsuck my dick...."" Well damn","Take me for who I am, if you do not like itsuck my dick. Well, damn"
1160,S12,Imma be gettin hella sex dis wk since Govt workers aint got no jobs. Feel like a18yr old on Fall Break!,I am going to be getting a lot of sex this week since Government workers don't have jobs. I feel like a 18 year old on Fall Break!
1318,S12,"Lmao I'm on a drought so the next nigga that I have sex with, WE GO TOGETHER cause I ain'tWith the drought life ""","Laughing my ass off. I'm in a drought, so the next black person I have sex with will become monogamous with me because I'm notin agreement with with a drought-style life"
1499,S12,He know how to turn me all the way on Lhh kissing nd bitting on my neck nd feelingmeh & ^_^||,He knows how to turn me all the way on. I love how kissing and biting on my neck and feelingme and cat
1564,S12,"Lmaoooo ,nawl hoe ,yeen smackin shit ,only one touchin my ass is KENDRAVIUS , && hoemy ass aint sloppy neither","Laughing my ass off, no, whore, you're talking shit. The only one touching my ass is Kendravius and, whore,my ass isn't sloppy either"
1565,S12,"Is it wrong for females to use a nigga for pleasure ,??? I mean niggasuse females all the time","Is it wrong for women to use a man for pleasure? I mean, menuse women all the tim"
1671,S12,Can I just get a blow job fr the crack ofmy hairy ass kmsl Jp,"Can I just get a blow job? For real, the crack of my hairy ass, killing myself laughing, just playing"
1932,S12,", BROKE hoes will never get it TRYING to argue w / Me over a DICK catch your LIFE beforeit falls out the WINDOW",Broke women will never get anywhere trying to argue with me over a man. Catch your life beforeit falls out the window
